ID,workID,number,type
626,1920,0292727992,2
627,1921,2222030617,2
628,1927,0582764769,2
629,1932,2851211153,2
630,1934,2735106322,2
631,1938,9170810338,2
632,1939,3805318030,2
633,1941,3515045511,2
634,1942,9179160352,2
635,1946,0674857518,2
636,1948,0674789253,2
637,1949,0852244169,2
639,1952,0197270085,2
640,1953,0198144725,2
641,1954,0198142978,2
642,1955,0500021112,2
643,1957,9025610129,2
644,1958,0691038635,2
645,1959,9607094794,2
646,1960,9607094727,2
647,1961,0860547698,2
648,1963,0199221626,2
649,1001,0198202342,2
650,1006,0631171061,2
651,1965,380620814X,2
652,1967,3534073142,2
653,1969,377491205X,2
654,1970,3700107714,2
655,1972,9025606431,2
656,1973,2903264171,2
657,1978,3700101686,2
658,1979,0300049773,2
659,1981,0860543234,2
660,1984,3786118698,2
661,1986,9004086129,2
662,1993,344702576X,2
663,1995,0198148445,2
664,1998,3920153685,2
665,2000,0943872162,2
666,2003,086054172X,2
667,2004,9004069216,2
668,2005,0198149263,2
669,2014,0713459581,2
670,2018,0854270418,2
671,2019,0631137912,2
672,2021,8323302030,2
674,2031,071412043X,2
675,2034,0860541657,2
676,2035,0292770456,2
677,2038,0859761576,2
678,2039,3496001917,2
679,2042,0521281717,2
680,2043,3774923698,2
681,2047,8460008142,2
682,2049,0520096762,2
683,2051,0520097564,2
684,2052,2865380718,2
685,2057,080782139X,2
686,2060,5020100870,2
688,2067,0860540200,2
689,2071,3805304757,2
690,2073,3631429355,2
691,2076,2911971000,2
692,2078,8875144400,2
693,2081,0876612192,2
694,2083,2728303606,2
695,2087,3700119747,2
696,2088,2204010057,2
697,2090,0876615167,2
698,2092,847234018X,2
699,2094,2222037468,2
700,2096,2222019508,2
701,2097,2222026768,2
702,2099,3406333028,2
703,2101,2701800056,2
704,2102,2735106195,2
705,2104,0904918106,2
706,2106,0815550480,2
707,2107,0815550561,2
708,2110,3515060189,2
709,2115,2858020124,2
710,2116,2728300607,2
711,2119,9652210099,2
712,2120,3150103339,2
713,2124,2251606130,2
714,2125,902561101X,2
715,2127,8400046501,2
716,2130,2903504032,2
717,2132,086054379X,2
718,2133,0889209650,2
719,2134,3700104227,2
720,2135,3406317499,2
721,2137,9963560016,2
722,2138,3700121431,2
723,2139,8474812143,2
724,2141,8486192315,2
725,2143,2251603379,2
726,2144,2701800226,2
727,2145,0708307744,2
728,2147,0860543749,2
729,2148,0860546810,2
730,2149,3803017602,2
